name,direction,number,email,rating,comments,open_hours,type,key_words,source,popularity_score
La Caravana,"Carrer de Mozart, 17, Barcelona, Catalunya, 08012, ES",0,,0.0,,,"Falafel Restaurant, Syrian Restaurant",['Falafel Restaurant' 'Syrian Restaurant'],Foursquare,0.0
Cruix,"Carrer D'Entença, 57, Barcelona, Catalunya, 08015, ES",0,,0.0,,,Restaurant,['Restaurant'],Foursquare,0.0
Parking Pizza,"Passeig Sant Joan, 56, Barcelona, Catalunya, ES",0,,0.0,,,Pizzeria,['Pizzeria'],Foursquare,0.0
Casa Lolea Barcelona,"Carrer de Sant Pere Més Alt, 49, Barcelona, Catalunya, 08003, ES",0,,0.0,,,"Mediterranean Restaurant, Tapas Restaurant",['Mediterranean Restaurant' 'Tapas Restaurant'],Foursquare,0.0
Bar Cañete,"Unió, 17, Barcelona, Catalunya, 08001, ES",0,,0.0,,,"Bar, Tapas Restaurant",['Bar' 'Tapas Restaurant'],Foursquare,0.0
Maoz Vegetarian,"Carrer de Ferran, 13, Barcelona, Catalunya, 08002, ES",0,,0.0,,,"Falafel Restaurant, Middle Eastern Restaurant, Vegan and Vegetarian Restaurant","['Falafel Restaurant' 'Middle Eastern Restaurant'
 'Vegan and Vegetarian Restaurant']",Foursquare,0.0
Quimet & Quimet,"Poeta Cabanyes, 25, Barcelona, Catalunya, 08004, ES",0,,0.0,,,Tapas Restaurant,['Tapas Restaurant'],Foursquare,0.0
El Xampanyet,"Carrer de Montcada, 22, Barcelona, Catalunya, 08003, ES",0,,0.0,,,"Wine Bar, Tapas Restaurant",['Wine Bar' 'Tapas Restaurant'],Foursquare,0.0
Cecconi's,"Passeig de Colom, 20, Barcelona, Catalunya, 08002, ES",0,,0.0,,,Italian Restaurant,['Italian Restaurant'],Foursquare,0.0
Menssana,"Carrer Sardenya, 48, Barcelona, Catalunya, 08005, ES",0,,0.0,,,"Burger Joint, Mediterranean Restaurant, Vegan and Vegetarian Restaurant","['Burger Joint' 'Mediterranean Restaurant'
 'Vegan and Vegetarian Restaurant']",Foursquare,0.0
Comida de Olla,"Praga, 1, Barcelona, Catalunya, 08024, ES",0,,0.0,,,Restaurant,['Restaurant'],Foursquare,0.0
Forn Baluard,"Carrer del Baluart, 38, Barcelona, Catalunya, 08003, ES",0,,0.0,,,"Bakery, Deli",['Bakery' 'Deli'],Foursquare,0.0
Granja Elena,"Passeig de la Zona Franca, 228, Barcelona, Catalunya, 08038, ES",0,,0.0,,,"Catalan Restaurant, Mediterranean Restaurant, Spanish Restaurant",['Catalan Restaurant' 'Mediterranean Restaurant' 'Spanish Restaurant'],Foursquare,0.0
El Asador de Aranda,"Avenida Tibidabo, 31, Barcelona, Catalunya, 08022, ES",0,,0.0,,,"Seafood Restaurant, Spanish Restaurant, Steakhouse",['Seafood Restaurant' 'Spanish Restaurant' 'Steakhouse'],Foursquare,0.0
Can Dendê,"Ciutat de Granada, 44, Barcelona, Catalunya, 08005, ES",0,,0.0,,,Breakfast Spot,['Breakfast Spot'],Foursquare,0.0
La Tavernícola,"Carrer de Roc Boronat, 70, Barcelona, Catalunya, 08005, ES",0,,0.0,,,Argentinian Restaurant,['Argentinian Restaurant'],Foursquare,0.0
Little Fern,"Calle Pere IV, 168, Barcelona, Catalunya, 08005, ES",0,,0.0,,,Vegan and Vegetarian Restaurant,['Vegan and Vegetarian Restaurant'],Foursquare,0.0
El Asador de Aranda,"Londres, 94, Barcelona, Catalunya, 08014, ES",0,,0.0,,,Spanish Restaurant,['Spanish Restaurant'],Foursquare,0.0
